word representation,model name,accuracy,f1 score
TF-IDF,TFIDF_LR_stem_aug,65.27%,66.09%
TF-IDF,TFIDF_SVM_stem_ori,65.15%,65.71%
TF-IDF,TFIDF_LR_non_stem_ori,64.13%,65.29%
TF-IDF,TFIDF_LR_non_stem_aug,64.13%,65.28%
TF-IDF,TFIDF_LR_stem_ori,64.13%,65.12%
TF-IDF,TFIDF_SVM_stem_aug,64.59%,65.02%
TF-IDF,TFIDF_SVM_non_stem_aug,63.79%,64.61%
WE,WE_SVM_ft_sum,65.27%,64.50%
TF-IDF,TFIDF_SVM_non_stem_ori,63.56%,64.41%
WE,WE_LR_ft_sum,63.79%,63.97%
WE,WE_SVM_ft_mean,64.25%,63.77%
WE,WE_SVM_w2v_mean,63.11%,63.27%
WE,WE_LR_ft_mean,62.43%,62.56%
TF-IDF,TFIDF_NB_non_stem_ori,62.77%,62.47%
WE,WE_LR_w2v_mean,61.75%,62.07%
TF-IDF,TFIDF_NB_stem_ori,62.09%,61.73%
TF-IDF,TFIDF_NB_non_stem_aug,61.75%,60.83%
WE,WE_LR_w2v_sum,60.61%,60.65%
WE,WE_LR_nnlm_sum,59.48%,59.24%
TF-IDF,TFIDF_NB_stem_aug,59.59%,58.85%
WE,WE_SVM_nnlm_mean,59.70%,58.79%
WE,WE_SVM_nnlm_sum,59.02%,58.55%
WE,WE_SVM_w2v_sum,57.66%,58.32%
WE,WE_LR_nnlm_mean,55.62%,54.01%
WE,WE_LR_ft_minmax,54.26%,53.72%
WE,WE_SVM_ft_minmax,53.92%,53.12%
WE,WE_LR_nnlm_minmax,52.89%,52.15%
WE,WE_SVM_nnlm_minmax,51.31%,51.00%
WE,WE_LR_w2v_minmax,49.60%,50.38%
WE,WE_SVM_w2v_minmax,49.26%,49.68%
WE,WE_NB_ft_mean,49.49%,48.45%
WE,WE_NB_nnlm_mean,48.69%,48.41%
WE,WE_NB_ft_minmax,48.92%,47.99%
WE,WE_NB_nnlm_minmax,46.42%,46.42%
WE,WE_NB_w2v_mean,44.61%,43.65%
WE,WE_NB_ft_sum,44.04%,43.01%
WE,WE_NB_w2v_minmax,43.36%,42.89%
WE,WE_NB_nnlm_sum,39.27%,38.98%
WE,WE_NB_w2v_sum,38.59%,36.86%
